Temple,Latitude,Longitude,Address,City,State,Postal Code,Country,Phone
Sydney Australia Temple,-33.775617,151.050592,756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street),Carlingford,New South Wales,2118,Australia,(+61) 2-9841-5471
Syracuse Utah Temple,41.099938,-112.076542,1025 South 2500 West,Syracuse,Utah,84075,United States,
Taipei Taiwan Temple,25.031377,121.527794,256 Ai Kuo East Road,Taipei,,106,Taiwan,(+886) 2-2192-4930
Tallahassee Florida Temple,30.520117,-84.238222,2440 Papillon Way,Tallahassee,Florida,,United States,
Tampico Mexico Temple,22.254262,-97.855869,Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo,Ciudad Madero,Tamaulipas,89480,Mexico,(+52) 833-216-9660
Tarawa Kiribati Temple,1.34948484,173.040061,Ambo,Tarawa,,,Kiribati,
Taylorsville Utah Temple,40.66671159,-111.95411,2603 West 4700 South,Taylorsville,Utah,,United States,
Tegucigalpa Honduras Temple,14.052174,-87.238019,Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur,Comayagüela,Francisco Morazán,,Honduras,(+504) 2264-1212
Teton River Idaho Temple,43.85852971,-111.781189,,Rexburg,Idaho,,United States,
The Gila Valley Arizona Temple,32.862971,-109.789974,5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243
The Hague Netherlands Temple,52.054487,4.502979,Osijlaan 2,Zoetermeer,,NL-2722 CV,Netherlands,(+31) 79-343-5310
Tijuana Mexico Temple,32.488713,-116.929441,Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,Baja California,22226,Mexico,(+52) 664-969-2690
Tokyo Japan Temple,35.652838,139.724539,5-8-10 Minami Azabu Minato-Ku,Tokyo,, 106-0047,Japan,
Toronto Ontario Temple,43.744338,-79.746059,10060 Bramalea Road,Brampton,Ontario,L6R 1A1,Canada,(+1) 905-799-1122
Torreón Mexico Temple,25.55331849,-103.499227,París and Amsterdam,Gómez Palacio,Durango,,Mexico,
Trujillo Peru Temple,-8.100149,-79.058515,Av. Mansiche Km 35 Carretera hacia Huanchaco,Trujillo,La Libertad,,Peru,(+51) 44-602-130
Tucson Arizona Temple,32.338454,-110.949174,7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900
Tuxtla Gutiérrez Mexico Temple,16.764164,-93.159155,Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,Chiapas,29047,Mexico,(+52) 961-615-8287
Twin Falls Idaho Temple,42.586827,-114.441509,1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070
Urdaneta Philippines Temple,15.938567,120.581762,MacArthur Highway,Urdaneta,,,Philippines,
Vancouver British Columbia Temple,49.151212,-122.658009,20370 82nd Avenue,Langley,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933
Veracruz Mexico Temple,19.13441,-96.10626,Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría,Boca del Río,Veracruz,94290,Mexico,(+52) 229-922-9621
Vernal Utah Temple,40.453205,-109.537413,170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220
Villahermosa Mexico Temple,17.981276,-92.937375,Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra,Villahermosa,Tabasco,86100,Mexico,(+52) 993-352-2028
Washington D.C. Temple,39.014079,-77.065624,9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650
Willamette Valley Oregon Temple,44.08885894,-123.03278,International Boulevard and Corporate Way,Springfield,Oregon,,United States,
Winnipeg Manitoba Temple,49.800544,-97.195212,15 Centre Street,Winnipeg,Manitoba,R3Y 2C3,Canada,(+1) 204-261-2200
Winter Quarters Nebraska Temple,41.334075,-95.96619,8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406
Yigo Guam Temple,13.541741,144.890143,321 Chalan Pale Ramon Lagu Rte 1,Yigo,,96929,Guam,(+1) 671-969-0055
Yorba Linda California Temple,33.8983749,-117.834721,Bastanchury Road and Osmond Street,Yorba Linda,California,,United States,
